ID,"Módulo del Sistema","Perfil de Usuario",Funcionalidad,"Instrucción (Lo que se debe hacer)","Resultado (Lo que se espera)"
QA-201,"Mis Auditorias","Auditor ASEM","Botón de acción","Debe presionar 'Botón de acción' para descargar el archivo","Para esperar que se inicie la descarga del documento en el computador."
QA-202,"Mis Auditorias","Auditor ASEM","VER DOCS","Debe presionar 'VER DOCS' para visualizar los detalles","Para esperar que se muestre toda la información detallada del recurso."
QA-203,"Mis Auditorias","Auditor ASEM","estado_revision, ['REVISADO', 'AUDITANDO']) ? 'bg-amber-600 hover:bg-amber-700 border-amber-400' : 'bg-gray-600 hover:bg-gray-700 border-gray-400' }} text-white text-[9px] font-black px-3 py-1.5 rounded shadow border-b-2 flex items-center gap-1.5 transition-all active:scale-95 uppercase"">","Debe presionar 'estado_revision, ['REVISADO', 'AUDITANDO']) ? 'bg-amber-600 hover:bg-amber-700 border-amber-400' : 'bg-gray-600 hover:bg-gray-700 border-gray-400' }} text-white text-[9px] font-black px-3 py-1.5 rounded shadow border-b-2 flex items-center gap-1.5 transition-all active:scale-95 uppercase"">' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-204,"Mis Auditorias","Auditor ASEM","Botón de acción","Debe presionar 'Botón de acción' para ejecutar la acción de cerrarDetalle","Para esperar que el sistema procese la solicitud correctamente."
QA-205,"Mis Auditorias","Auditor ASEM",Cerrar,"Debe presionar 'Cerrar' para ejecutar la acción de cerrarDetalle","Para esperar que el sistema procese la solicitud correctamente."
QA-206,"Mis Auditorias","Auditor ASEM","Botón de acción","Debe presionar 'Botón de acción' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-207,"Mis Auditorias","Auditor ASEM","X CERRAR","Debe presionar 'X CERRAR' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-208,"Mis Auditorias","Auditor ASEM","Botón de acción","Debe presionar 'Botón de acción' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-209,"Mis Auditorias","Auditor ASEM","Botón de acción","Debe presionar 'Botón de acción' para cambiar el estado","Para esperar que el registro se active o desactive según corresponda."
QA-210,"Mis Auditorias","Auditor ASEM","Botón de acción","Debe presionar 'Botón de acción' para solicitar la eliminación del registro","Para esperar que el registro sea borrado definitivamente (o desactivado) del listado."
QA-211,"Mis Auditorias","Auditor ASEM","RECHAZAR / DEVOLVER AL ANALISTA","Debe presionar 'RECHAZAR / DEVOLVER AL ANALISTA' para rechazar la solicitud","Para esperar que el sistema solicite el motivo y notifique el rechazo."
QA-212,"Mis Auditorias","Auditor ASEM",Cerrar,"Debe presionar 'Cerrar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-213,"Mis Auditorias","Auditor ASEM",GUARDAR,"Debe presionar 'GUARDAR' para presionar el botón de guardar","Para esperar que los cambios se almacenen en el sistema y se muestre un mensaje de éxito."
QA-214,"Mis Auditorias","Auditor ASEM",FINALIZAR,"Debe presionar 'FINALIZAR' para ejecutar la acción de finalizarPeriodo","Para esperar que el sistema procese la solicitud correctamente."
QA-215,"Mis Auditorias","Auditor ASEM","Botón de acción","Debe presionar 'Botón de acción' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-216,"Mis Auditorias","Auditor ASEM",CANCELAR,"Debe presionar 'CANCELAR' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-217,"Mis Auditorias","Auditor ASEM","Botón de acción","Debe presionar 'Botón de acción' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-218,"Mis Auditorias","Auditor ASEM","Botón de acción","Debe presionar 'Botón de acción' para presionar el botón de guardar","Para esperar que los cambios se almacenen en el sistema y se muestre un mensaje de éxito."
QA-219,"Mis Auditorias","Auditor ASEM","Botón de acción","Debe presionar 'Botón de acción' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-220,"Mis Auditorias","Auditor ASEM",CERRAR,"Debe presionar 'CERRAR' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-221,"Mis Auditorias","Auditor ASEM",@if($isSelected),"Debe presionar '@if($isSelected)' para ejecutar la acción de seleccionarItemCatalogo({{ $item[","Para esperar que el sistema procese la solicitud correctamente."
QA-222,"Mis Auditorias","Auditor ASEM","@if($nuevaIncidencia['catalogo_item_id']) ✓ USAR ESTE TEXTO @else CANCELAR @endif","Debe presionar '@if($nuevaIncidencia['catalogo_item_id']) ✓ USAR ESTE TEXTO @else CANCELAR @endif' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-223,"Carga Flash Contratista",Contratista,"Ver +","Debe presionar 'Ver +' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-224,"Carga Flash Contratista",Contratista,"Botón de acción","Debe presionar 'Botón de acción' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-225,"Carga Flash Contratista",Contratista,Cerrar,"Debe presionar 'Cerrar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-226,"Gestion Embarcaciones Contratista",Contratista,"Agregar Nueva Embarcación","Debe presionar 'Agregar Nueva Embarcación' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-227,"Gestion Embarcaciones Contratista",Contratista,"is_active ? 'Activa -> Inactiva' : 'Inactiva -> Activa' }})?"" class=""status-badge "">","Debe presionar 'is_active ? 'Activa -> Inactiva' : 'Inactiva -> Activa' }})?"" class=""status-badge "">' para cambiar el estado. Se debe confirmar el mensaje: '¿Está seguro de cambiar el estado de esta embarcación ({{ $emb->is_active ?'","Para esperar que el registro se active o desactive según corresponda."
QA-228,"Gestion Embarcaciones Contratista",Contratista,"Gestionar Documentos","Debe presionar 'Gestionar Documentos' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-229,"Gestion Embarcaciones Contratista",Contratista,"Editar Ficha Embarcación","Debe presionar 'Editar Ficha Embarcación' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-230,"Gestion Embarcaciones Contratista",Contratista,vinculaciones_count,"Debe presionar 'vinculaciones_count' para solicitar la eliminación del registro. Se debe confirmar el mensaje: '¿Está seguro de eliminar esta asignación específica?'","Para esperar que el registro sea borrado definitivamente (o desactivado) del listado."
QA-231,"Gestion Embarcaciones Contratista",Contratista,"Ver Todas las Vinculaciones","Debe presionar 'Ver Todas las Vinculaciones' para ejecutar la acción de seleccionarEmbarcacionParaVinculaciones","Para esperar que el sistema procese la solicitud correctamente."
QA-232,"Gestion Embarcaciones Contratista",Contratista,"Editar Ficha de esta Embarcación","Debe presionar 'Editar Ficha de esta Embarcación' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-233,"Gestion Embarcaciones Contratista",Contratista,"Volver a Listado","Debe presionar 'Volver a Listado' para ejecutar la acción de irAListadoEmbarcaciones","Para esperar que el sistema procese la solicitud correctamente."
QA-234,"Gestion Embarcaciones Contratista",Contratista,"Agregar Vinculación","Debe presionar 'Agregar Vinculación' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-235,"Gestion Embarcaciones Contratista",Contratista,"Editar Vinculación","Debe presionar 'Editar Vinculación' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-236,"Gestion Embarcaciones Contratista",Contratista,vinculaciones()->count(),"Debe presionar 'vinculaciones()->count()' para solicitar la eliminación del registro. Se debe confirmar el mensaje: '¿Está seguro?'","Para esperar que el registro sea borrado definitivamente (o desactivado) del listado."
QA-237,"Gestion Embarcaciones Contratista",Contratista,"Botón de acción","Debe presionar 'Botón de acción' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-238,"Gestion Embarcaciones Contratista",Contratista,"Eliminación Permanente","Debe presionar 'Eliminación Permanente' para solicitar la eliminación del registro. Se debe confirmar el mensaje: 'ADVERTENCIA: ¿Está seguro de eliminar PERMANENTEMENTE la ficha de esta embarcación y TODAS sus vinculaciones?'","Para esperar que el registro sea borrado definitivamente (o desactivado) del listado."
QA-239,"Gestion Embarcaciones Contratista",Contratista,Cancelar,"Debe presionar 'Cancelar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-240,"Gestion Embarcaciones Contratista",Contratista,"Botón de acción","Debe presionar 'Botón de acción' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-241,"Gestion Embarcaciones Contratista",Contratista,Cancelar,"Debe presionar 'Cancelar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-242,"Gestion Empresa Contratista",Contratista,"Gestionar Documentos para esta U.O.","Debe presionar 'Gestionar Documentos para esta U.O.' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-243,"Gestion Maquinaria Contratista",Contratista,"Agregar Nueva Maquinaria","Debe presionar 'Agregar Nueva Maquinaria' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-244,"Gestion Maquinaria Contratista",Contratista,"is_active ? 'Activa -> Inactiva' : 'Inactiva -> Activa' }})?"" class=""status-badge "">","Debe presionar 'is_active ? 'Activa -> Inactiva' : 'Inactiva -> Activa' }})?"" class=""status-badge "">' para cambiar el estado. Se debe confirmar el mensaje: '¿Está seguro de cambiar el estado de esta maquinaria ({{ $maq->is_active ?'","Para esperar que el registro se active o desactive según corresponda."
QA-245,"Gestion Maquinaria Contratista",Contratista,"Gestionar Documentos","Debe presionar 'Gestionar Documentos' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-246,"Gestion Maquinaria Contratista",Contratista,"Editar Ficha Maquinaria","Debe presionar 'Editar Ficha Maquinaria' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-247,"Gestion Maquinaria Contratista",Contratista,vinculaciones_count,"Debe presionar 'vinculaciones_count' para solicitar la eliminación del registro. Se debe confirmar el mensaje: '¿Está seguro de eliminar esta asignación específica?'","Para esperar que el registro sea borrado definitivamente (o desactivado) del listado."
QA-248,"Gestion Maquinaria Contratista",Contratista,"Ver Todas las Vinculaciones","Debe presionar 'Ver Todas las Vinculaciones' para ejecutar la acción de seleccionarMaquinariaParaVinculaciones","Para esperar que el sistema procese la solicitud correctamente."
QA-249,"Gestion Maquinaria Contratista",Contratista,"Editar Ficha de esta Maquinaria","Debe presionar 'Editar Ficha de esta Maquinaria' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-250,"Gestion Maquinaria Contratista",Contratista,"Volver a Listado","Debe presionar 'Volver a Listado' para ejecutar la acción de irAListadoMaquinaria","Para esperar que el sistema procese la solicitud correctamente."
QA-251,"Gestion Maquinaria Contratista",Contratista,"Agregar Vinculación","Debe presionar 'Agregar Vinculación' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-252,"Gestion Maquinaria Contratista",Contratista,"Editar Vinculación","Debe presionar 'Editar Vinculación' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-253,"Gestion Maquinaria Contratista",Contratista,vinculaciones()->count(),"Debe presionar 'vinculaciones()->count()' para solicitar la eliminación del registro. Se debe confirmar el mensaje: '¿Está seguro?'","Para esperar que el registro sea borrado definitivamente (o desactivado) del listado."
QA-254,"Gestion Maquinaria Contratista",Contratista,"Botón de acción","Debe presionar 'Botón de acción' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-255,"Gestion Maquinaria Contratista",Contratista,"Eliminación Permanente","Debe presionar 'Eliminación Permanente' para solicitar la eliminación del registro. Se debe confirmar el mensaje: 'ADVERTENCIA: ¿Está seguro de eliminar PERMANENTEMENTE la ficha de esta maquinaria y TODAS sus vinculaciones?'","Para esperar que el registro sea borrado definitivamente (o desactivado) del listado."
QA-256,"Gestion Maquinaria Contratista",Contratista,Cancelar,"Debe presionar 'Cancelar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-257,"Gestion Maquinaria Contratista",Contratista,"Botón de acción","Debe presionar 'Botón de acción' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-258,"Gestion Maquinaria Contratista",Contratista,Cancelar,"Debe presionar 'Cancelar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-259,"Gestion Trabajadores Contratista",Contratista,"Agregar Nuevo Trabajador","Debe presionar 'Agregar Nuevo Trabajador' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-260,"Gestion Trabajadores Contratista",Contratista,"HABILITADO (MANUAL)","Debe presionar 'HABILITADO (MANUAL)' para revertir la acción. Se debe confirmar el mensaje: '¿Desea revertir la excepción manual y volver al estado calculado por el sistema?'","Para esperar que el sistema deshaga el último cambio y recupere el estado anterior."
QA-261,"Gestion Trabajadores Contratista",Contratista,HABILITADO,"Debe presionar 'HABILITADO' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-262,"Gestion Trabajadores Contratista",Contratista,✕,"Debe presionar '✕' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-263,"Gestion Trabajadores Contratista",Contratista,"trashed() ? 'Activo->Inactivo' : 'Inactivo->Activo' }})?"" class=""status-badge "">","Debe presionar 'trashed() ? 'Activo->Inactivo' : 'Inactivo->Activo' }})?"" class=""status-badge "">' para cambiar el estado. Se debe confirmar el mensaje: '¿Está seguro de cambiar el estado de este trabajador ({{ !$trab->trashed() ?'","Para esperar que el registro se active o desactive según corresponda."
QA-264,"Gestion Trabajadores Contratista",Contratista,"id }})"" class=""action-button-info"" title=""Gestionar Documentos"">","Debe presionar 'id }})"" class=""action-button-info"" title=""Gestionar Documentos"">' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-265,"Gestion Trabajadores Contratista",Contratista,"Editar Ficha Trabajador","Debe presionar 'Editar Ficha Trabajador' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-266,"Gestion Trabajadores Contratista",Contratista,"🚫 Desvincular","Debe presionar '🚫 Desvincular' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-267,"Gestion Trabajadores Contratista",Contratista,"↩ Revertir","Debe presionar '↩ Revertir' para revertir la acción. Se debe confirmar el mensaje: '¿Desea revertir el finiquito de este trabajador? Solo es posible si el período de nómina aún NO ha sido enviado.'","Para esperar que el sistema deshaga el último cambio y recupere el estado anterior."
QA-268,"Gestion Trabajadores Contratista",Contratista,"🔓 Reactivar","Debe presionar '🔓 Reactivar' para ejecutar la acción de reactivarVinculacion. Se debe confirmar el mensaje: '¿Desea reactivar esta vinculación y volverla a poner en estado ACTIVO?'","Para esperar que el sistema procese la solicitud correctamente."
QA-269,"Gestion Trabajadores Contratista",Contratista,"Ver Todas las Vinculaciones","Debe presionar 'Ver Todas las Vinculaciones' para ejecutar la acción de seleccionarTrabajadorParaVinculaciones","Para esperar que el sistema procese la solicitud correctamente."
QA-270,"Gestion Trabajadores Contratista",Contratista,"Editar Ficha de este Trabajador","Debe presionar 'Editar Ficha de este Trabajador' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-271,"Gestion Trabajadores Contratista",Contratista,"Volver a Listado de Asignaciones","Debe presionar 'Volver a Listado de Asignaciones' para ejecutar la acción de irAListadoTrabajadores","Para esperar que el sistema procese la solicitud correctamente."
QA-272,"Gestion Trabajadores Contratista",Contratista,"Agregar Vinculación (UO + Lugar de Trabajo)","Debe presionar 'Agregar Vinculación (UO + Lugar de Trabajo)' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-273,"Gestion Trabajadores Contratista",Contratista,"is_active ? 'status-active' : 'status-inactive' }}"">","Debe presionar 'is_active ? 'status-active' : 'status-inactive' }}"">' para cambiar el estado","Para esperar que el registro se active o desactive según corresponda."
QA-274,"Gestion Trabajadores Contratista",Contratista,"Editar Vinculación","Debe presionar 'Editar Vinculación' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-275,"Gestion Trabajadores Contratista",Contratista,"🚫 Desvincular","Debe presionar '🚫 Desvincular' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-276,"Gestion Trabajadores Contratista",Contratista,"↩ Revertir","Debe presionar '↩ Revertir' para revertir la acción. Se debe confirmar el mensaje: '¿Desea revertir el finiquito de este trabajador? Solo es posible si el período de nómina aún NO ha sido enviado.'","Para esperar que el sistema deshaga el último cambio y recupere el estado anterior."
QA-277,"Gestion Trabajadores Contratista",Contratista,"🔓 Reactivar","Debe presionar '🔓 Reactivar' para ejecutar la acción de reactivarVinculacion. Se debe confirmar el mensaje: '¿Desea reactivar esta vinculación y volverla a poner en estado ACTIVO?'","Para esperar que el sistema procese la solicitud correctamente."
QA-278,"Gestion Trabajadores Contratista",Contratista,"Botón de acción","Debe presionar 'Botón de acción' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-279,"Gestion Trabajadores Contratista",Contratista,"Eliminación Permanente","Debe presionar 'Eliminación Permanente' para solicitar la eliminación del registro. Se debe confirmar el mensaje: 'ADVERTENCIA: ESTA ACCIÓN ES IRREVERSIBLE.\n\n¿Está seguro de eliminar PERMANENTEMENTE la ficha de este trabajador y TODAS sus vinculaciones asociadas?'","Para esperar que el registro sea borrado definitivamente (o desactivado) del listado."
QA-280,"Gestion Trabajadores Contratista",Contratista,Cancelar,"Debe presionar 'Cancelar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-281,"Gestion Trabajadores Contratista",Contratista,"Botón de acción","Debe presionar 'Botón de acción' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-282,"Gestion Trabajadores Contratista",Contratista,Cancelar,"Debe presionar 'Cancelar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-283,"Gestion Trabajadores Contratista",Contratista,"Botón de acción","Debe presionar 'Botón de acción' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-284,"Gestion Trabajadores Contratista",Contratista,Cancelar,"Debe presionar 'Cancelar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-285,"Gestion Vehiculos Contratista",Contratista,"Agregar Nuevo Vehículo","Debe presionar 'Agregar Nuevo Vehículo' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-286,"Gestion Vehiculos Contratista",Contratista,"is_active ? 'Activo -> Inactivo' : 'Inactivo -> Activo' }})?"" class=""status-badge "">","Debe presionar 'is_active ? 'Activo -> Inactivo' : 'Inactivo -> Activo' }})?"" class=""status-badge "">' para cambiar el estado. Se debe confirmar el mensaje: '¿Está seguro de cambiar el estado de este vehículo ({{ $veh->is_active ?'","Para esperar que el registro se active o desactive según corresponda."
QA-287,"Gestion Vehiculos Contratista",Contratista,"unidad_organizacional_mandante_id ?? 'null' }}, '')"" class=""action-button-info"" title=""Gestionar Documentos"">","Debe presionar 'unidad_organizacional_mandante_id ?? 'null' }}, '')"" class=""action-button-info"" title=""Gestionar Documentos"">' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-288,"Gestion Vehiculos Contratista",Contratista,"Editar Ficha Vehículo","Debe presionar 'Editar Ficha Vehículo' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-289,"Gestion Vehiculos Contratista",Contratista,vinculaciones_count,"Debe presionar 'vinculaciones_count' para solicitar la eliminación del registro. Se debe confirmar el mensaje: '¿Está seguro de eliminar esta asignación específica?\n\nEsta acción es irreversible.'","Para esperar que el registro sea borrado definitivamente (o desactivado) del listado."
QA-290,"Gestion Vehiculos Contratista",Contratista,"Ver Todas las Vinculaciones","Debe presionar 'Ver Todas las Vinculaciones' para ejecutar la acción de seleccionarVehiculoParaVinculaciones","Para esperar que el sistema procese la solicitud correctamente."
QA-291,"Gestion Vehiculos Contratista",Contratista,"Editar Ficha de este Vehículo","Debe presionar 'Editar Ficha de este Vehículo' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-292,"Gestion Vehiculos Contratista",Contratista,"Volver a Listado de Asignaciones","Debe presionar 'Volver a Listado de Asignaciones' para ejecutar la acción de irAListadoVehiculos","Para esperar que el sistema procese la solicitud correctamente."
QA-293,"Gestion Vehiculos Contratista",Contratista,"Agregar Vinculación (UO + Lugar de Trabajo/Departamento)","Debe presionar 'Agregar Vinculación (UO + Lugar de Trabajo/Departamento)' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-294,"Gestion Vehiculos Contratista",Contratista,"is_active ? 'status-active' : 'status-inactive' }}"">","Debe presionar 'is_active ? 'status-active' : 'status-inactive' }}"">' para cambiar el estado","Para esperar que el registro se active o desactive según corresponda."
QA-295,"Gestion Vehiculos Contratista",Contratista,"Editar Vinculación","Debe presionar 'Editar Vinculación' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-296,"Gestion Vehiculos Contratista",Contratista,vinculaciones()->count(),"Debe presionar 'vinculaciones()->count()' para solicitar la eliminación del registro. Se debe confirmar el mensaje: '¿Está seguro de eliminar esta vinculación específica? Esta acción es irreversible.'","Para esperar que el registro sea borrado definitivamente (o desactivado) del listado."
QA-297,"Gestion Vehiculos Contratista",Contratista,"Botón de acción","Debe presionar 'Botón de acción' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-298,"Gestion Vehiculos Contratista",Contratista,"Eliminación Permanente","Debe presionar 'Eliminación Permanente' para solicitar la eliminación del registro. Se debe confirmar el mensaje: 'ADVERTENCIA: ¿Está seguro de eliminar PERMANENTEMENTE la ficha de este vehículo y TODAS sus vinculaciones?'","Para esperar que el registro sea borrado definitivamente (o desactivado) del listado."
QA-299,"Gestion Vehiculos Contratista",Contratista,Cancelar,"Debe presionar 'Cancelar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-300,"Gestion Vehiculos Contratista",Contratista,"Botón de acción","Debe presionar 'Botón de acción' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-301,"Gestion Vehiculos Contratista",Contratista,Cancelar,"Debe presionar 'Cancelar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-302,"Mis Subcontratistas",Contratista,"Ver Vinculaciones","Debe presionar 'Ver Vinculaciones' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-303,"Mis Subcontratistas",Contratista,"Gestionar Usuarios","Debe presionar 'Gestionar Usuarios' para ejecutar la acción de gestionarUsuarios","Para esperar que el sistema procese la solicitud correctamente."
QA-304,"Mis Subcontratistas",Contratista,×,"Debe presionar '×' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-305,"Mis Subcontratistas",Contratista,Cerrar,"Debe presionar 'Cerrar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-306,"Mis Subcontratistas",Contratista,×,"Debe presionar '×' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-307,"Mis Subcontratistas",Contratista,Cancelar,"Debe presionar 'Cancelar' para ejecutar la acción de cancelarEdicionUsuario","Para esperar que el sistema procese la solicitud correctamente."
QA-308,"Mis Subcontratistas",Contratista,Guardar,"Debe presionar 'Guardar' para presionar el botón de guardar","Para esperar que los cambios se almacenen en el sistema y se muestre un mensaje de éxito."
QA-309,"Mis Subcontratistas",Contratista,"+ Crear Usuario","Debe presionar '+ Crear Usuario' para ejecutar la acción de formCrearUsuario","Para esperar que el sistema procese la solicitud correctamente."
QA-310,"Mis Subcontratistas",Contratista,Editar,"Debe presionar 'Editar' para clicar en editar","Para esperar que se habilite la edición de la información seleccionada."
QA-311,"Mis Subcontratistas",Contratista,Eliminar,"Debe presionar 'Eliminar' para solicitar la eliminación del registro","Para esperar que el registro sea borrado definitivamente (o desactivado) del listado."
QA-312,"Mis Subcontratistas",Contratista,Cerrar,"Debe presionar 'Cerrar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-313,"Mis Vinculaciones",Contratista,"Botón de acción","Debe presionar 'Botón de acción' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-314,"Mis Vinculaciones",Contratista,"Guardar Asignaciones","Debe presionar 'Guardar Asignaciones' para presionar el botón de guardar","Para esperar que los cambios se almacenen en el sistema y se muestre un mensaje de éxito."
QA-315,"Mis Vinculaciones",Contratista,Cancelar,"Debe presionar 'Cancelar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-316,"Modal Gestion Documentos Recurso",Contratista,"Botón de acción","Debe presionar 'Botón de acción' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-317,"Modal Gestion Documentos Recurso",Contratista,"id }})"" wire:confirm=""¿Seguro?"" class=""text-red-500 hover:text-red-700"">","Debe presionar 'id }})"" wire:confirm=""¿Seguro?"" class=""text-red-500 hover:text-red-700"">' para solicitar la eliminación del registro. Se debe confirmar el mensaje: '¿Seguro?'","Para esperar que el registro sea borrado definitivamente (o desactivado) del listado."
QA-318,"Modal Gestion Documentos Recurso",Contratista,"Ver Más","Debe presionar 'Ver Más' para abrir la ventana de gestión","Para esperar que la ventana se muestre correctamente en pantalla."
QA-319,"Modal Gestion Documentos Recurso",Contratista,Cerrar,"Debe presionar 'Cerrar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-320,"Modal Gestion Documentos Recurso",Contratista,"Botón de acción","Debe presionar 'Botón de acción' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-321,"Modal Gestion Documentos Recurso",Contratista,Cerrar,"Debe presionar 'Cerrar' para cerrar la ventana actual","Para esperar que la ventana desaparezca y se vuelva a la vista principal."
QA-322,"Panel Operacion",Contratista,"Botón de acción","Debe presionar 'Botón de acción' para ejecutar la acción de volverAlContratistaOriginal","Para esperar que el sistema procese la solicitud correctamente."
QA-323,"Panel Operacion",Contratista,"Botón de acción","Debe presionar 'Botón de acción' para ejecutar la acción de seleccionarPestaña(","Para esperar que el sistema procese la solicitud correctamente."
QA-324,"Panel Operacion",Contratista,Trabajadores,"Debe presionar 'Trabajadores' para ejecutar la acción de seleccionarPestaña(","Para esperar que el sistema procese la solicitud correctamente."
QA-325,"Panel Operacion",Contratista,"Glosario de Documentos","Debe presionar 'Glosario de Documentos' para cambiar el estado","Para esperar que el registro se active o desactive según corresponda."
QA-326,"Reporte Dotacion",Contratista,"Generar Reporte","Debe presionar 'Generar Reporte' para ejecutar la acción de generarReporte","Para esperar que el sistema procese la solicitud correctamente."
QA-327,"Reporte Dotacion",Contratista,Excel,"Debe presionar 'Excel' para exportar la lista","Para esperar que se genere un archivo Excel o PDF con los datos actuales."
QA-328,"Reporte Dotacion",Contratista,Excel,"Debe presionar 'Excel' para exportar la lista","Para esperar que se genere un archivo Excel o PDF con los datos actuales."
